title;description;url;image
Email Remainder;NodeJS API for creating and sending email remainders;https://github.com/marcin-karbowniczyn/email-reminder;emailnder.png
Profiles REST API;A Django REST Framework API for creating and managing user profiles and their feed.;https://github.com/marcin-karbowniczyn/profiles-rest-api;18.png
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://github.com/marcin-karbowniczyn/email-webcam-detection;11.png
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://github.com/marcin-karbowniczyn/restaurant-menu-app;19.png
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://github.com/marcin-karbowniczyn/student-managment-system;17.png
Todo App;CLI Todo App and its GUI version.;https://github.com/marcin-karbowniczyn/py-todo-app;1.png
Visualizing Weather Forecast;A data web app that visualizes the weather forecast up to the next five days of any city.;https://github.com/marcin-karbowniczyn/weather-forecast-app;16.png
Weather API;An API built with Python and Flask to serve historical weather data for various cities.;https://github.com/marcin-karbowniczyn/historical-weather-api;6.png
Email News Site;This is a simple app that accesses news about a particular topic and sends them by email.;https://github.com/marcin-karbowniczyn/email-news-sender;5.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/marcin-karbowniczyn/simple-invoice-generator;4.png
PDF Generator;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/marcin-karbowniczyn/simple-pdf-generator;3.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://github.com/marcin-karbowniczyn/portfolio-app;2.png
